Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R_M_L4,0402WGF1501TCE,R_0402_1005Metric,133.225,-112.625,180,top
R_M_N1,0402WGF1003TCE,R_0402_1005Metric,101.34,-111.575,180,top
R_M_N2,0402WGF1003TCE,R_0402_1005Metric,99.8,-110.375,90,top
R_M_N3,0402WGF1003TCE,R_0402_1005Metric,132.74,-101.975,0,top
R_M_N4,0402WGF1003TCE,R_0402_1005Metric,140.225,-103.19,90,top
R_M_O1,RC0402FR-072K61L,R_0402_1005Metric,105.29,-111.575,0,top
R_M_O2,RC0402FR-072K61L,R_0402_1005Metric,108.735,-111.55,0,top
R_M_O3,RC0402FR-072K61L,R_0402_1005Metric,129.775,-103.175,-90,top
R_M_O4,RC0402FR-072K61L,R_0402_1005Metric,138.69,-101.975,180,top
R_M_Q1,0402WGF1002TCE,R_0402_1005Metric,101.34,-112.675,0,top
R_M_Q2,0402WGF1002TCE,R_0402_1005Metric,101.29,-113.725,180,top
R_M_Q3,0402WGF1002TCE,R_0402_1005Metric,134.74,-101.975,0,top
R_M_Q4,0402WGF1002TCE,R_0402_1005Metric,135.21,-112.65,180,top
S1,200MSP1T2B4M2QE,SW_200MSP1T2B4M2QE,120,-101.7,0,top
USB_RAW1,USB_RAW,PinHeader_1x03_P2.54mm_Vertical,113.8,-100.7,0,top
